region_name,category,subcategory,subsubcategory,mean price [€],min price [€],max price [€],A,B,C,D,E,nutri-score null percentage
Auvergne-Rhône-Alpes,Traiteur,"Pâtes fraîches, gnocchis et quenelles",Gnocchis,2.97,1.31,5.7,4.9,39.0,56.10000000000001,0.0,0.0,13.0
Auvergne-Rhône-Alpes,Traiteur,"Pâtes fraîches, gnocchis et quenelles",Pâtes fraîches,2.73,1.29,4.88,52.400000000000006,21.4,26.200000000000003,0.0,0.0,43.0
Auvergne-Rhône-Alpes,Traiteur,"Pâtes fraîches, gnocchis et quenelles",Raviolis et autres pâtes farcies,3.58,2.04,6.48,12.0,51.800000000000004,33.7,2.4,0.0,10.0
Auvergne-Rhône-Alpes,Traiteur,Salade familiales,Salade crudités,2.27,0.88,4.76,94.6,5.4,0.0,0.0,0.0,18.0
Auvergne-Rhône-Alpes,Traiteur,Salade familiales,Salades composées,3.52,1.32,9.99,14.000000000000002,44.0,28.000000000000004,14.000000000000002,0.0,23.0
Auvergne-Rhône-Alpes,Traiteur,Salade familiales,Taboulé,2.96,0.95,8.95,11.4,88.6,0.0,0.0,0.0,8.0
Auvergne-Rhône-Alpes,Traiteur,Snacking,Boissons,1.68,0.23,3.17,5.6000000000000005,0.0,33.300000000000004,16.7,44.4,61.0
Auvergne-Rhône-Alpes,Traiteur,Snacking,Box et snacks chauds,4.04,2.32,10.21,14.7,45.6,36.8,2.9000000000000004,0.0,26.0
Auvergne-Rhône-Alpes,Traiteur,Snacking,Desserts,2.88,1.69,4.33,17.599999999999998,82.39999999999999,0.0,0.0,0.0,43.0
Auvergne-Rhône-Alpes,Traiteur,Snacking,Salades,4.36,0.57,5.99,19.5,70.7,9.8,0.0,0.0,2.0
Auvergne-Rhône-Alpes,Traiteur,Snacking,Sandwichs,2.61,1.35,6.82,9.9,41.4,33.300000000000004,14.399999999999999,0.8999999999999999,18.0
Auvergne-Rhône-Alpes,Traiteur,Traiteur de la mer,Crevettes et fruits de mer,5.82,3.53,9.96,0.0,53.800000000000004,46.2,0.0,0.0,62.0
Auvergne-Rhône-Alpes,Traiteur,Traiteur de la mer,Poissons panés et cuisinés,4.57,2.7,8.32,33.300000000000004,41.699999999999996,25.0,0.0,0.0,60.0
Auvergne-Rhône-Alpes,Traiteur,Traiteur de la mer,Saumons et poissons fumés,5.98,1.0,10.99,0.0,3.5999999999999996,3.5999999999999996,92.9,0.0,54.0
Auvergne-Rhône-Alpes,Traiteur,Traiteur de la mer,Surimis,3.69,1.53,7.07,0.0,66.0,26.400000000000002,7.5,0.0,7.000000000000001
Auvergne-Rhône-Alpes,Traiteur,Traiteur de la mer,"Tartinables, blinis et œufs de poissons",2.94,1.19,7.89,0.0,22.0,40.0,38.0,0.0,26.0
Auvergne-Rhône-Alpes,"Viandes, charcuterie et poissons",Boucherie,Porc,8.3,1.19,27.59,0.0,0.0,36.4,63.6,0.0,92.0
Auvergne-Rhône-Alpes,"Viandes, charcuterie et poissons",Boucherie,Saucisses et brochettes,6.13,2.14,13.46,0.0,33.300000000000004,0.0,0.0,66.7,95.0
Auvergne-Rhône-Alpes,"Viandes, charcuterie et poissons",Boucherie,Veau,10.56,2.88,19.96,0.0,0.0,0.0,100.0,0.0,98.0
Auvergne-Rhône-Alpes,"Viandes, charcuterie et poissons",Boucherie,Viandes hachées et farces,6.36,2.39,13.75,0.0,100.0,0.0,0.0,0.0,98.0
Auvergne-Rhône-Alpes,"Viandes, charcuterie et poissons",Charcuterie,Charcuteries tranchées,4.09,0.99,18.99,0.0,0.0,4.9,49.2,45.9,48.0
Auvergne-Rhône-Alpes,"Viandes, charcuterie et poissons",Charcuterie,Jambons crus,5.19,0.84,11.19,0.0,0.0,0.0,62.5,37.5,79.0
Auvergne-Rhône-Alpes,"Viandes, charcuterie et poissons",Charcuterie,Jambons cuits,3.52,0.76,8.05,0.0,45.300000000000004,37.8,16.1,0.8,27.0
Auvergne-Rhône-Alpes,"Viandes, charcuterie et poissons",Charcuterie,"Lardons, bacons, dés, poitrines",2.58,1.05,9.12,0.0,5.0,16.2,58.8,20.0,21.0
Auvergne-Rhône-Alpes,"Viandes, charcuterie et poissons",Charcuterie,Produits tripiers et abats,4.3,2.1,7.99,33.300000000000004,0.0,0.0,66.7,0.0,83.0
Auvergne-Rhône-Alpes,"Viandes, charcuterie et poissons",Charcuterie,"Pâtés, rillettes, terrines et foie gras",3.71,0.92,26.41,0.0,0.0,0.0,47.8,52.2,73.0
