region_name,category,subcategory,subsubcategory,mean price [€],min price [€],max price [€],A,B,C,D,E,nutri-score null percentage
Normandie,"Pains, viennoiseries et pâtisseries",Pâtisseries,Crêpes et pancakes,3.85,2.75,5.05,0.333,0.667,0.0,0.0,0.0,0.67
Normandie,"Pains, viennoiseries et pâtisseries",Pâtisseries,Gâteaux,5.03,1.5,10.5,0.0,0.0,0.0,1.0,0.0,0.98
Normandie,"Pains, viennoiseries et pâtisseries",Viennoiseries et brioches,"Beignets, donuts et muffins",3.88,1.66,5.75,0.0,0.0,0.8,0.2,0.0,0.82
Normandie,"Pains, viennoiseries et pâtisseries",Viennoiseries et brioches,Brioches et pains au lait,3.16,1.42,6.99,0.0,0.128,0.436,0.436,0.0,0.19
Normandie,"Pains, viennoiseries et pâtisseries",Viennoiseries et brioches,Viennoiseries,3.32,1.5,8.85,0.0,0.034,0.356,0.475,0.136,0.41
Normandie,"Produits laitiers, oeufs, fromages et desserts",Fromages,"Camemberts, coulommiers, bries, crémeux",3.38,1.45,8.55,0.0,0.0,0.098,0.902,0.0,0.7
Normandie,"Produits laitiers, oeufs, fromages et desserts",Fromages,Chèvres et brebis,3.59,1.43,8.49,0.0,0.0,0.219,0.781,0.0,0.57
Normandie,"Produits laitiers, oeufs, fromages et desserts",Fromages,"Emmental, comté et cantal",4.26,1.99,8.05,0.0,0.0,0.038,0.769,0.192,0.81
Normandie,"Produits laitiers, oeufs, fromages et desserts",Fromages,Fromages du terroir et de caractère,4.18,2.19,6.99,0.0,0.0,0.0,0.667,0.333,0.84
Normandie,"Produits laitiers, oeufs, fromages et desserts",Fromages,Fromages enfants,3.17,1.78,6.98,0.0,0.0,0.0,1.0,0.0,0.94
Normandie,"Produits laitiers, oeufs, fromages et desserts",Fromages,Fromages végétaux,2.77,2.09,3.14,0.0,0.0,0.0,0.4,0.6,0.29
Normandie,"Produits laitiers, oeufs, fromages et desserts",Fromages,Fromages à tartiner,2.76,1.29,5.96,0.0,0.0,0.0,1.0,0.0,0.92
Normandie,"Produits laitiers, oeufs, fromages et desserts",Fromages,"Mozzarella, feta, ricotta, mascarpone",3.1,0.97,5.99,0.0,0.0,0.409,0.545,0.045,0.56
Normandie,"Produits laitiers, oeufs, fromages et desserts",Fromages,Roqueforts et bleus,3.32,1.58,9.0,0.0,0.0,0.0,0.25,0.75,0.9
Normandie,"Produits laitiers, oeufs, fromages et desserts","Fromages râpés, à cuisiner et apéritifs",Fromages apéritifs et salades,3.01,1.79,4.85,0.0,0.0,0.0,0.667,0.333,0.85
Normandie,"Produits laitiers, oeufs, fromages et desserts","Fromages râpés, à cuisiner et apéritifs",Fromages râpés,2.94,0.96,8.51,0.0,0.0,0.083,0.917,0.0,0.78
Normandie,"Produits laitiers, oeufs, fromages et desserts","Fromages râpés, à cuisiner et apéritifs","Fromages sandwich, burger et croque",2.82,0.98,5.83,0.0,0.0,0.0,0.714,0.286,0.85
Normandie,"Produits laitiers, oeufs, fromages et desserts","Fromages râpés, à cuisiner et apéritifs","Mozzarella, feta, ricotta, mascarpone",3.1,0.97,5.99,0.0,0.0,0.409,0.545,0.045,0.56
Normandie,"Produits laitiers, oeufs, fromages et desserts","Fromages râpés, à cuisiner et apéritifs","Raclette, fondue et tartiflette",5.06,2.05,8.99,0.0,0.0,0.0,0.938,0.062,0.73
Normandie,"Produits laitiers, oeufs, fromages et desserts",Lait et boissons végétales,Boissons végétales,2.54,1.39,4.78,0.34,0.66,0.0,0.0,0.0,0.25
Normandie,"Produits laitiers, oeufs, fromages et desserts",Lait et boissons végétales,Laits et boissons lactées,3.41,0.63,8.98,0.5,0.5,0.0,0.0,0.0,0.71
Normandie,"Produits laitiers, oeufs, fromages et desserts","Oeufs, beurres et crème","Beurres, margarines et autres graisses",3.3,1.24,7.36,0.0,0.0,0.276,0.328,0.397,0.6
Normandie,"Produits laitiers, oeufs, fromages et desserts","Oeufs, beurres et crème",Crèmes fraîches et chantilly,2.82,0.51,6.15,0.0,0.0,0.0,1.0,0.0,0.82
Normandie,"Produits laitiers, oeufs, fromages et desserts","Oeufs, beurres et crème",Oeufs,3.47,1.22,8.57,1.0,0.0,0.0,0.0,0.0,0.26
Normandie,"Produits laitiers, oeufs, fromages et desserts","Raclette, fondue et tartiflette",Charcuterie,3.42,0.76,7.65,0.0,0.431,0.389,0.153,0.028,0.22
Normandie,"Produits laitiers, oeufs, fromages et desserts","Raclette, fondue et tartiflette",Condiments,2.9,0.71,4.99,0.0,0.0,0.846,0.154,0.0,0.58
Normandie,"Produits laitiers, oeufs, fromages et desserts","Raclette, fondue et tartiflette",Fromages,5.11,2.05,8.99,0.0,0.0,0.0,0.938,0.062,0.72
Normandie,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Allégés et bien-être,2.96,1.24,6.85,0.6,0.39,0.01,0.0,0.0,0.24
Normandie,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Compotes,2.51,1.19,6.35,0.907,0.052,0.041,0.0,0.0,0.07
Normandie,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Crèmes dessert et petits pots de crème,2.3,1.2,5.06,0.0,0.042,0.938,0.021,0.0,0.38
Normandie,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Desserts patissiers et italiens,2.95,1.45,4.79,0.0,0.0,0.45,0.5,0.05,0.57
Normandie,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Desserts végétaux,2.43,1.49,3.66,0.226,0.387,0.387,0.0,0.0,0.16
Normandie,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,"Flans, crèmes et riz au lait",2.38,0.84,3.79,0.0,0.0,0.75,0.25,0.0,0.45
Normandie,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Fruits et aromatisés,2.65,0.89,5.26,0.066,0.286,0.626,0.022,0.0,0.42
Normandie,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Mousses et liégeois,2.42,0.99,7.04,0.0,0.0,0.654,0.308,0.038,0.55
Normandie,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Yaourt à boire,2.91,1.37,6.24,0.18,0.787,0.033,0.0,0.0,0.31
Normandie,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Yaourts chèvre et brebis,2.66,1.62,3.46,0.16,0.32,0.52,0.0,0.0,0.0
Normandie,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Yaourts et desserts Enfants,2.63,1.42,4.74,0.0,0.714,0.286,0.0,0.0,0.33
Normandie,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,"Yaourts natures, fromages blancs, skyrs et faisselles",2.62,0.71,6.24,0.494,0.349,0.157,0.0,0.0,0.35
Normandie,Surgelés,"Apéritifs, entrées et snacks",Apéritifs,5.12,3.2,9.99,0.214,0.071,0.179,0.357,0.179,0.4
Normandie,Surgelés,"Apéritifs, entrées et snacks","Entrées, coquilles, feuilletés, crêpes",5.83,1.25,12.99,0.0,0.231,0.231,0.308,0.231,0.62
Normandie,Surgelés,"Apéritifs, entrées et snacks",Snacks et burgers,4.93,3.15,7.87,0.125,0.0,0.375,0.5,0.0,0.53
Normandie,Surgelés,Frites et pommes de terre,Frites,3.43,1.25,7.06,0.886,0.114,0.0,0.0,0.0,0.03
Normandie,Surgelés,Frites et pommes de terre,Pommes de terre surgelées,2.81,1.59,3.99,0.438,0.375,0.188,0.0,0.0,0.3
Normandie,Surgelés,"Glaces, pâtisseries et viennoiseries","Desserts, pâtisseries et viennoiseries",5.48,2.0,11.5,0.0,0.0,0.294,0.706,0.0,0.35
Normandie,Surgelés,"Glaces, pâtisseries et viennoiseries",Glaces,4.02,0.99,9.68,0.0,0.0,0.154,0.577,0.269,0.66
Normandie,Surgelés,Légumes et fruits,Fruits natures et coulis,3.72,2.99,6.27,1.0,0.0,0.0,0.0,0.0,0.75
Normandie,Surgelés,Légumes et fruits,Herbes et sauces,2.43,1.79,5.12,1.0,0.0,0.0,0.0,0.0,0.12
Normandie,Surgelés,Légumes et fruits,Légumes,2.96,1.29,5.04,0.885,0.092,0.023,0.0,0.0,0.17
Normandie,Surgelés,"Pizzas, quiches et tartes",Pizzas,4.9,2.69,10.99,0.056,0.556,0.389,0.0,0.0,0.6
Normandie,Surgelés,"Pizzas, quiches et tartes",Quiches et tartes,4.07,2.99,6.32,0.0,0.0,0.429,0.571,0.0,0.5
Normandie,Surgelés,Viandes et poissons,"Poissons, mollusques et crustacés",6.84,1.95,12.75,0.814,0.153,0.034,0.0,0.0,0.29
Normandie,Surgelés,Viandes et poissons,Viandes,7.97,3.5,13.21,0.061,0.303,0.515,0.121,0.0,0.15
Normandie,Traiteur,Entrées et apéritifs,Apéritifs,4.62,1.89,10.99,0.278,0.278,0.222,0.111,0.111,0.67
Normandie,Traiteur,Entrées et apéritifs,Entrées chaudes,5.13,1.68,9.99,0.0,0.0,0.5,0.5,0.0,0.95
Normandie,Traiteur,Entrées et apéritifs,Entrées froides,3.95,2.0,6.99,0.0,0.5,0.5,0.0,0.0,0.67
